country,region,crop,year,yield_t_ha
United States,Colorado,Barley,1989,4.0889
United States,Colorado,Barley,1990,4.3041
United States,Colorado,Barley,1991,4.3041
United States,Colorado,Barley,1992,4.3579
United States,Colorado,Barley,1993,4.5731
United States,Colorado,Barley,1994,4.8421
United States,Colorado,Barley,1995,5.3801
United States,Colorado,Barley,1996,5.5953
United States,Colorado,Barley,1997,5.8105
United States,Colorado,Barley,1998,6.1871
United States,Colorado,Barley,1999,5.6491
United States,Colorado,Barley,2000,6.1871
United States,Colorado,Barley,2001,5.7567
United States,Colorado,Barley,2002,5.5953
United States,Colorado,Barley,2003,5.8643
United States,Colorado,Barley,2004,6.3485
United States,Colorado,Barley,2005,6.9941
United States,Colorado,Barley,2006,6.1871
United States,Colorado,Barley,2007,6.4561
United States,Colorado,Barley,2008,6.4561
United States,Colorado,Barley,2009,7.2631
United States,Colorado,Barley,2010,7.1555
United States,Colorado,Barley,2011,6.7789
United States,Colorado,Barley,2012,6.5637
United States,Colorado,Barley,2013,7.1555
United States,Colorado,Barley,2014,6.6713
United States,Colorado,Barley,2015,6.9941
United States,Colorado,Barley,2016,6.9403
United States,Colorado,Barley,2017,7.1017
United States,Colorado,Barley,2018,7.8011
United States,Colorado,Barley,2019,7.4245
United States,Colorado,Barley,2020,7.8011
United States,Colorado,Barley,2021,5.9719
United States,Colorado,Barley,2022,5.9719
United States,Colorado,Barley,2023,7.0479
United States,Colorado,Barley,2024,7.8011
United States,Colorado,Barley,2025,6.7789
United States,Kansas,Barley,1989,1.7216
United States,Kansas,Barley,1990,2.3672
United States,Kansas,Barley,1991,1.7754
United States,Kansas,Barley,1992,2.152
United States,Kansas,Barley,1993,2.4748
United States,Kansas,Barley,1994,2.0444
United States,Kansas,Barley,1995,1.883
United States,Kansas,Barley,1996,1.7754
United States,Kansas,Barley,1997,2.2596
United States,Kansas,Barley,1998,1.883
United States,Kansas,Barley,1999,2.421
United States,Kansas,Barley,2000,1.883
United States,Kansas,Barley,2001,2.69
United States,Kansas,Barley,2002,1.9906
United States,Kansas,Barley,2003,3.0666
United States,Kansas,Barley,2004,1.5064
United States,Kansas,Barley,2005,2.2596
United States,Kansas,Barley,2006,1.4526
United States,Kansas,Barley,2007,2.7976
United States,Kansas,Barley,2008,1.9906
United States,Kansas,Barley,2009,2.7438
United States,Kansas,Barley,2010,2.3134
United States,Kansas,Barley,2011,1.5602
United States,Kansas,Barley,2012,3.1204
United States,Kansas,Barley,2013,2.5286
United States,Kansas,Barley,2014,1.883
United States,Kansas,Barley,2015,2.0982
United States,Kansas,Barley,2018,1.6678
United States,Kansas,Barley,2019,1.7754
United States,Kansas,Barley,2020,2.7438
United States,Kansas,Barley,2021,3.5509
United States,Kansas,Barley,2022,1.8292
United States,Kansas,Barley,2023,1.5602
United States,Kansas,Barley,2024,4.0351
United States,Kansas,Barley,2025,2.7438
United States,Minnesota,Barley,1989,2.959
United States,Minnesota,Barley,1990,3.3895
United States,Minnesota,Barley,1991,2.69
United States,Minnesota,Barley,1992,4.0351
United States,Minnesota,Barley,1993,3.1204
United States,Minnesota,Barley,1994,2.69
United States,Minnesota,Barley,1995,2.69
United States,Minnesota,Barley,1996,3.4433
United States,Minnesota,Barley,1997,2.7438
United States,Minnesota,Barley,1998,2.959
United States,Minnesota,Barley,1999,2.5286
United States,Minnesota,Barley,2000,3.4433
United States,Minnesota,Barley,2001,2.959
United States,Minnesota,Barley,2002,2.2058
United States,Minnesota,Barley,2003,4.0351
United States,Minnesota,Barley,2004,3.6585
United States,Minnesota,Barley,2005,2.3134
United States,Minnesota,Barley,2006,3.228
United States,Minnesota,Barley,2007,2.9052
United States,Minnesota,Barley,2008,3.4971
United States,Minnesota,Barley,2009,3.2818
United States,Minnesota,Barley,2010,3.3356
United States,Minnesota,Barley,2011,2.7438
United States,Minnesota,Barley,2012,3.0666
United States,Minnesota,Barley,2013,3.7123
United States,Minnesota,Barley,2014,2.7976
United States,Minnesota,Barley,2015,4.1427
United States,Minnesota,Barley,2016,3.5509
United States,Minnesota,Barley,2017,4.0889
United States,Minnesota,Barley,2018,4.0889
United States,Minnesota,Barley,2019,3.6047
United States,Minnesota,Barley,2020,2.5286
United States,Minnesota,Barley,2021,2.959
United States,Minnesota,Barley,2022,3.8737
United States,Minnesota,Barley,2023,3.9813
United States,Minnesota,Barley,2024,3.7661
United States,Minnesota,Barley,2025,4.0351
United States,Montana,Barley,1989,2.3134
United States,Montana,Barley,1990,2.2058
United States,Montana,Barley,1991,2.7976
United States,Montana,Barley,1992,2.3672
United States,Montana,Barley,1993,3.1204
United States,Montana,Barley,1994,2.3672
United States,Montana,Barley,1995,2.7976
United States,Montana,Barley,1996,2.3134
United States,Montana,Barley,1997,2.8514
United States,Montana,Barley,1998,2.5824
United States,Montana,Barley,1999,2.69
United States,Montana,Barley,2000,2.152
United States,Montana,Barley,2001,2.2058
United States,Montana,Barley,2002,2.2596
United States,Montana,Barley,2003,2.152
United States,Montana,Barley,2004,3.1742
United States,Montana,Barley,2005,3.0128
