crop,region,year,dominant_feature,driver_group,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,weather_driven
Barley,Colorado,1990,min_tmin,frost_cold,4.3041,4.9403294294294255,0.6362294294294255,0.3698365714285705,0.5812943481099927,True
Oats,Colorado,1990,dry_days_1mm,drought,1.7934,2.0998372413793227,0.3064372413793226,0.08522209523809575,0.27810619510375956,False
Oats,Montana,1990,max_consecutive_heat_days_35,heat,1.4347,1.94631921921922,0.5116192192192199,0.22496704761904907,0.4397157869916818,False
Barley,Colorado,1991,dry_days_1mm,drought,4.3041,5.016868065208058,0.7127680652080581,0.3847212380952385,0.5397565587943923,True
Barley,Texas,1991,dry_spell_events_7d,drought,1.7216,2.0867878787878986,0.3651878787878986,0.26164914285714147,0.7164781693346057,True
Oats,Iowa,1991,dry_spell_events_14d,drought,1.7934,2.1940560145860037,0.40065601458600364,0.12838895238095357,0.3204468364555001,False
Oats,Minnesota,1991,dry_spell_events_14d,drought,1.4347,1.9859069412269363,0.5512069412269363,0.2602264761904787,0.4721030464733233,False
Wheat,Illinois,1991,dry_spell_events_14d,drought,2.152,3.0019648348348085,0.8499648348348083,0.36786733333333416,0.4328030034381712,False
Wheat,Washington,1991,dry_spell_events_14d,drought,3.0868,3.8926784641784575,0.8058784641784573,0.5015407619047645,0.6223528536850205,True
Barley,Colorado,1992,season_tmean_mean,heat,4.3579,5.093406700986691,0.7355067009866909,0.35948647619047325,0.4887603004951796,False
Barley,Washington,1992,heat_days_30,heat,2.421,3.2568276319176324,0.8358276319176325,0.503445809523813,0.6023320961150344,True
Wheat,Nebraska,1992,dry_spell_events_14d,drought,2.0175,2.416996151866151,0.39949615186615084,0.28428219047619047,0.7116018243185426,True
Wheat,Washington,1992,dry_spell_events_14d,drought,3.3222,3.901601823251818,0.5794018232518181,0.3301267142857145,0.5697716179644048,True
Barley,Colorado,1993,cold_days_5,frost_cold,4.5731,5.169945336765323,0.5968453367653233,0.23654066666666382,0.3963181951770371,False
Oats,Illinois,1993,heat_days_30,heat,1.8292,2.2663275203775086,0.4371275203775087,0.08031599999999917,0.18373585797260553,False
Oats,Iowa,1993,dry_spell_events_14d,drought,1.4347,2.2300232990132898,0.7953232990132897,0.1186207142857143,0.14914779239194925,False
Oats,Kansas,1993,max_1day_rain,excess_rain,1.2195,1.734650960960959,0.515150960960959,0.06395595238095207,0.12414992347417751,False
Oats,Nebraska,1993,frost_events_2d,frost_cold,1.5423,2.06665645216645,0.5243564521664501,0.20386957142857431,0.38879958582803625,False
Wheat,Iowa,1993,dry_spell_events_14d,drought,1.6813,2.680891674876861,0.999591674876861,0.07888476190476099,0.0789169856926617,False
Barley,Texas,1994,dry_spell_events_7d,drought,1.7754,2.1288496969697093,0.3534496969697092,0.12247199999999878,0.3465047531516053,False
Barley,Washington,1994,max_consecutive_heat_days_30,heat,2.5286,3.273169227799228,0.7445692277992282,0.44838757142857366,0.6022107208941498,True
Oats,Washington,1994,season_tmax_mean,heat,2.0803,2.5619428571428564,0.4816428571428566,0.12744504761905118,0.26460487419052625,False
Wheat,Minnesota,1994,frost_events_2d,frost_cold,1.883,2.5777693050193022,0.6947693050193022,0.5525610476190486,0.7953158604260693,True
Wheat,Texas,1994,max_1day_rain,excess_rain,1.7485,2.004965555555554,0.25646555555555395,0.12032795238095395,0.469177828267427,False
Oats,Minnesota,1995,dry_spell_events_14d,drought,1.7216,2.0585443157443137,0.3369443157443137,0.26517823809523877,0.7870090863811046,True
Oats,South Dakota,1995,frost_events_2d,frost_cold,1.6499,2.0826472114972034,0.4327472114972035,0.20046752380952393,0.46324394122830614,False
Wheat,Kansas,1995,season_tmax_mean,heat,1.7485,2.4706704633204666,0.7221704633204666,0.10409900000000039,0.14414740741592189,False
Wheat,Minnesota,1995,dry_spell_events_7d,drought,2.152,2.634766023166023,0.4827660231660227,0.3467126190476146,0.7181794128216444,True
Wheat,Oklahoma,1995,season_tmean_mean,heat,1.4123,1.9478657443157417,0.5355657443157416,0.12258747619047615,0.2288934225005343,False
