method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
01_residual_target_scaa,Barley,Colorado,1990,excess_rain,wet_days_1mm,4.3041,4.9403294294294255,0.6362294294294255,0.49006963857555585,0.7702718797762206,"In Colorado Barley 1990, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.490 t/ha (77.0%) of the 0.636 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Colorado,1990,excess_rain,wet_days_1mm,1.7934,2.0998372413793227,0.3064372413793226,0.23654909425046183,0.7719332454035837,"In Colorado Oats 1990, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.237 t/ha (77.2%) of the 0.306 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Montana,1990,drought,rain_sum,1.4347,1.9463192192192196,0.5116192192192195,0.2814100077058182,0.550037991409465,"In Montana Oats 1990, drought/dry-spell stress was the dominant modelled driver; moving rain_sum toward feasible normal levels recovered 0.281 t/ha (55.0%) of the 0.512 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Colorado,1991,drought,max_dry_spell_1mm,4.3041,5.016868065208058,0.7127680652080581,0.4427982838446399,0.621237546207105,"In Colorado Barley 1991, drought/dry-spell stress was the dominant modelled driver; moving max_dry_spell_1mm toward feasible normal levels recovered 0.443 t/ha (62.1%) of the 0.713 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Texas,1991,heat,heatwave_events_3d_35,1.7216,2.0867878787878986,0.3651878787878986,0.23893459264807593,0.6542785413391262,"In Texas Barley 1991, heat exposure was the dominant modelled driver; moving heatwave_events_3d_35 toward feasible normal levels recovered 0.239 t/ha (65.4%) of the 0.365 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Iowa,1991,excess_rain,max_3day_rain,1.7934,2.1940560145860033,0.4006560145860032,0.1945027638812521,0.4854607363931159,"In Iowa Oats 1991, excess rainfall or wetness was the dominant modelled driver; moving max_3day_rain toward feasible normal levels recovered 0.195 t/ha (48.5%) of the 0.401 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Minnesota,1991,drought,rain_mean,1.4347,1.9859069412269363,0.5512069412269363,0.2815874610960447,0.5108561595201555,"In Minnesota Oats 1991, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.282 t/ha (51.1%) of the 0.551 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Illinois,1991,drought,dry_spell_events_14d,2.152,3.0019648348348085,0.8499648348348083,0.19820262874905398,0.2331892104543065,"In Illinois Wheat 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.198 t/ha (23.3%) of the 0.850 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Washington,1991,drought,dry_spell_events_14d,3.0868,3.8926784641784575,0.8058784641784573,0.5660446827231888,0.7023946015237371,"In Washington Wheat 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.566 t/ha (70.2%) of the 0.806 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Colorado,1992,drought,rain_mean,4.3579,5.093406700986691,0.7355067009866909,0.564032061369986,0.7668618934583876,"In Colorado Barley 1992, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.564 t/ha (76.7%) of the 0.736 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Washington,1992,drought,rain_sum,2.421,3.2568276319176324,0.8358276319176325,0.3240994071949039,0.38775866556520183,"In Washington Barley 1992, drought/dry-spell stress was the dominant modelled driver; moving rain_sum toward feasible normal levels recovered 0.324 t/ha (38.8%) of the 0.836 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Nebraska,1992,drought,dry_days_1mm,2.0175,2.416996151866151,0.39949615186615084,0.16566737576292256,0.4146907923619464,"In Nebraska Wheat 1992, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.166 t/ha (41.5%) of the 0.399 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Washington,1992,drought,dry_spell_events_14d,3.3222,3.901601823251818,0.5794018232518181,0.41902027745311365,0.7231946131985162,"In Washington Wheat 1992, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.419 t/ha (72.3%) of the 0.579 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Colorado,1993,excess_rain,heavy_rain_days_10,4.5731,5.169945336765323,0.5968453367653233,0.3431083709784377,0.5748698194375711,"In Colorado Barley 1993, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_10 toward feasible normal levels recovered 0.343 t/ha (57.5%) of the 0.597 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Illinois,1993,heat,heatwave_events_3d_30,1.8292,2.2663275203775086,0.4371275203775087,0.17568723938554848,0.40191301438496213,"In Illinois Oats 1993, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.176 t/ha (40.2%) of the 0.437 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Iowa,1993,heat,max_consecutive_heat_days_30,1.4347,2.2300232990132898,0.7953232990132897,0.09114923671729003,0.11460652143646925,"In Iowa Oats 1993, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.091 t/ha (11.5%) of the 0.795 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Kansas,1993,heat,heatwave_events_3d_35,1.2195,1.734650960960959,0.515150960960959,0.053072270983792746,0.10302275450441187,"In Kansas Oats 1993, heat exposure was the dominant modelled driver; moving heatwave_events_3d_35 toward feasible normal levels recovered 0.053 t/ha (10.3%) of the 0.515 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Nebraska,1993,drought,dry_spell_events_7d,1.5423,2.06665645216645,0.5243564521664501,0.20904248485144003,0.39866484714310757,"In Nebraska Oats 1993, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_7d toward feasible normal levels recovered 0.209 t/ha (39.9%) of the 0.524 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Iowa,1993,drought,dry_spell_events_14d,1.6813,2.680891674876861,0.999591674876861,0.3097946413267576,0.3099211899348011,"In Iowa Wheat 1993, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.310 t/ha (31.0%) of the 1.000 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Texas,1994,excess_rain,max_7day_rain,1.7754,2.1288496969697093,0.3534496969697092,0.17673590000611,0.5000312675929564,"In Texas Barley 1994, excess rainfall or wetness was the dominant modelled driver; moving max_7day_rain toward feasible normal levels recovered 0.177 t/ha (50.0%) of the 0.353 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Washington,1994,heat,max_consecutive_heat_days_30,2.5286,3.2731692277992277,0.7445692277992277,0.545762883412264,0.7329914573899478,"In Washington Barley 1994, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.546 t/ha (73.3%) of the 0.745 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Washington,1994,heat,max_consecutive_heat_days_30,2.0803,2.5619428571428564,0.4816428571428566,0.35659758545781406,0.7403776058741514,"In Washington Oats 1994, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.357 t/ha (74.0%) of the 0.482 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Minnesota,1994,drought,hot_dry_days_30_1mm,1.883,2.5777693050193022,0.6947693050193022,0.19604657947155313,0.2821750731577103,"In Minnesota Wheat 1994, drought/dry-spell stress was the dominant modelled driver; moving hot_dry_days_30_1mm toward feasible normal levels recovered 0.196 t/ha (28.2%) of the 0.695 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Texas,1994,drought,dry_spell_events_7d,1.7485,2.004965555555554,0.25646555555555395,0.22443235622497323,0.8750974599252106,"In Texas Wheat 1994, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_7d toward feasible normal levels recovered 0.224 t/ha (87.5%) of the 0.256 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Minnesota,1995,heat,heatwave_events_3d_30,1.7216,2.0585443157443137,0.3369443157443137,0.186453623630294,0.5533662831450825,"In Minnesota Oats 1995, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.186 t/ha (55.3%) of the 0.337 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,South Dakota,1995,heat,heatwave_events_3d_35,1.6499,2.0826472114972034,0.4327472114972035,0.04790779766228259,0.11070619611050268,"In South Dakota Oats 1995, heat exposure was the dominant modelled driver; moving heatwave_events_3d_35 toward feasible normal levels recovered 0.048 t/ha (11.1%) of the 0.433 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Kansas,1995,heat,heatwave_events_3d_30,1.7485,2.4706704633204666,0.7221704633204666,0.24613229566858708,0.34082298871224354,"In Kansas Wheat 1995, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.246 t/ha (34.1%) of the 0.722 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Minnesota,1995,heat,heatwave_events_3d_30,2.152,2.634766023166023,0.4827660231660227,0.18961457068842455,0.3927670167111498,"In Minnesota Wheat 1995, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.190 t/ha (39.3%) of the 0.483 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Oklahoma,1995,drought,max_dry_spell_1mm,1.4123,1.9478657443157417,0.5355657443157416,0.21230236040745887,0.3964076542623243,"In Oklahoma Wheat 1995, drought/dry-spell stress was the dominant modelled driver; moving max_dry_spell_1mm toward feasible normal levels recovered 0.212 t/ha (39.6%) of the 0.536 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Oklahoma,1996,heat,heatwave_events_3d_35,1.2374,2.0385309090909054,0.8011309090909053,0.34225239118828504,0.427211567179028,"In Oklahoma Barley 1996, heat exposure was the dominant modelled driver; moving heatwave_events_3d_35 toward feasible normal levels recovered 0.342 t/ha (42.7%) of the 0.801 t/ha detrended yield shortfall."
