crop,region,year,window,dominant_feature,driver_group,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,n_changed_features,changed_features_json
Barley,Colorado,1990,spring,wet_days_1mm,excess_rain,4.3041,4.9403294294294255,0.6362294294294255,-0.5854088856542646,-0.09533924707870879,0.49006963857555585,0.7702718797762206,4,"[{""feature"": ""rain_mean"", ""from"": 1.648, ""to"": 1.562, ""standardized_delta"": 0.2766, ""prediction_gain_t_ha"": 0.0657}, {""feature"": ""rain_sum"", ""from"": 301.59, ""to"": 356.76, ""standardized_delta"": 0.9696, ""prediction_gain_t_ha"": 0.1836}, {""feature"": ""season_tmax_mean"", ""from"": 19.712, ""to"": 19.62, ""standardized_delta"": 0.0862, ""prediction_gain_t_ha"": 0.0126}, {""feature"": ""wet_days_1mm"", ""from"": 78.0, ""to"": 51.4, ""standardized_delta"": 2.0694, ""prediction_gain_t_ha"": 0.2282}]"
Oats,Colorado,1990,spring,wet_days_1mm,excess_rain,1.7934,2.0998372413793227,0.3064372413793226,-0.3606533666309084,-0.12410427238044651,0.2365490942504619,0.7719332454035839,4,"[{""feature"": ""rain_mean"", ""from"": 1.648, ""to"": 1.562, ""standardized_delta"": 0.2766, ""prediction_gain_t_ha"": 0.0362}, {""feature"": ""season_tmax_mean"", ""from"": 19.712, ""to"": 19.62, ""standardized_delta"": 0.0862, ""prediction_gain_t_ha"": 0.0094}, {""feature"": ""rain_sum"", ""from"": 301.59, ""to"": 285.92, ""standardized_delta"": 0.2754, ""prediction_gain_t_ha"": 0.0282}, {""feature"": ""wet_days_1mm"", ""from"": 78.0, ""to"": 51.4, ""standardized_delta"": 2.0694, ""prediction_gain_t_ha"": 0.1627}]"
Oats,Montana,1990,spring,rain_sum,drought,1.4347,1.9463192192192196,0.5116192192192195,-0.38786075043200996,-0.10645074272619172,0.28141000770581825,0.5500379914094651,4,"[{""feature"": ""rain_sum"", ""from"": 282.34, ""to"": 350.57, ""standardized_delta"": 0.9862, ""prediction_gain_t_ha"": 0.1695}, {""feature"": ""rain_mean"", ""from"": 1.543, ""to"": 1.771, ""standardized_delta"": 0.603, ""prediction_gain_t_ha"": 0.0842}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 4.0, ""to"": 3.0, ""standardized_delta"": 0.3218, ""prediction_gain_t_ha"": 0.0174}, {""feature"": ""wet_days_1mm"", ""from"": 66.0, ""to"": 68.0, ""standardized_delta"": 0.1702, ""prediction_gain_t_ha"": 0.0102}]"
Barley,Colorado,1991,spring,max_dry_spell_1mm,drought,4.3041,5.016868065208058,0.7127680652080581,-0.5236963720199761,-0.0808980881753362,0.44279828384463993,0.6212375462071051,4,"[{""feature"": ""rain_mean"", ""from"": 1.682, ""to"": 1.771, ""standardized_delta"": 0.2863, ""prediction_gain_t_ha"": 0.1173}, {""feature"": ""rain_sum"", ""from"": 307.78, ""to"": 324.15, ""standardized_delta"": 0.2877, ""prediction_gain_t_ha"": 0.0909}, {""feature"": ""heavy_rain_days_10"", ""from"": 2.0, ""to"": 3.0, ""standardized_delta"": 0.5534, ""prediction_gain_t_ha"": 0.1305}, {""feature"": ""max_dry_spell_1mm"", ""from"": 14.0, ""to"": 17.0, ""standardized_delta"": 0.5742, ""prediction_gain_t_ha"": 0.1042}]"
Barley,Texas,1991,spring,heatwave_events_3d_35,heat,1.7216,2.0867878787878986,0.3651878787878986,-0.31615995303477484,-0.07722536038669892,0.23893459264807593,0.6542785413391262,4,"[{""feature"": ""max_7day_rain"", ""from"": 81.41, ""to"": 81.975, ""standardized_delta"": 0.0187, ""prediction_gain_t_ha"": 0.0046}, {""feature"": ""heatwave_events_3d_35"", ""from"": 6.0, ""to"": 3.0, ""standardized_delta"": 1.2001, ""prediction_gain_t_ha"": 0.1658}, {""feature"": ""rain_mean"", ""from"": 3.039, ""to"": 2.7485, ""standardized_delta"": 0.4701, ""prediction_gain_t_ha"": 0.04}, {""feature"": ""heat_degree_days_35"", ""from"": 42.95, ""to"": 0.0, ""standardized_delta"": 0.4042, ""prediction_gain_t_ha"": 0.0286}]"
Oats,Iowa,1991,spring,max_3day_rain,excess_rain,1.7934,2.1940560145860033,0.4006560145860032,-0.37236020627112754,-0.17785744238987525,0.1945027638812523,0.4854607363931164,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.745, ""standardized_delta"": 0.045, ""prediction_gain_t_ha"": 0.0087}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 7.0, ""to"": 4.0, ""standardized_delta"": 0.3959, ""prediction_gain_t_ha"": 0.0673}, {""feature"": ""wet_days_1mm"", ""from"": 79.0, ""to"": 72.0, ""standardized_delta"": 0.47, ""prediction_gain_t_ha"": 0.0641}, {""feature"": ""max_3day_rain"", ""from"": 53.83, ""to"": 63.205, ""standardized_delta"": 0.479, ""prediction_gain_t_ha"": 0.0544}]"
Oats,Minnesota,1991,spring,rain_mean,drought,1.4347,1.9859069412269363,0.5512069412269363,-0.4571534005263489,-0.17556593943030402,0.2815874610960449,0.5108561595201557,4,"[{""feature"": ""dry_spell_events_7d"", ""from"": 2.0, ""to"": 3.0, ""standardized_delta"": 0.693, ""prediction_gain_t_ha"": 0.1034}, {""feature"": ""heavy_rain_days_25"", ""from"": 2.0, ""to"": 3.0, ""standardized_delta"": 0.672, ""prediction_gain_t_ha"": 0.0485}, {""feature"": ""frost_events_2d"", ""from"": 4.0, ""to"": 3.0, ""standardized_delta"": 0.9722, ""prediction_gain_t_ha"": 0.0637}, {""feature"": ""rain_mean"", ""from"": 3.651, ""to"": 2.99, ""standardized_delta"": 1.0965, ""prediction_gain_t_ha"": 0.066}]"
Wheat,Illinois,1991,winter,dry_spell_events_14d,drought,2.152,3.0019648348348085,0.8499648348348083,-0.6891355134642925,-0.4909328847152384,0.1982026287490541,0.23318921045430663,4,"[{""feature"": ""rain_sum"", ""from"": 836.39, ""to"": 804.935, ""standardized_delta"": 0.2205, ""prediction_gain_t_ha"": 0.0469}, {""feature"": ""dry_days_1mm"", ""from"": 204.0, ""to"": 204.5, ""standardized_delta"": 0.0481, ""prediction_gain_t_ha"": 0.0098}, {""feature"": ""dry_spell_events_14d"", ""from"": 3.0, ""to"": 2.0, ""standardized_delta"": 0.8822, ""prediction_gain_t_ha"": 0.1372}, {""feature"": ""max_7day_rain"", ""from"": 107.81, ""to"": 108.83, ""standardized_delta"": 0.0353, ""prediction_gain_t_ha"": 0.0043}]"
Wheat,Washington,1991,winter,dry_spell_events_14d,drought,3.0868,3.8926784641784575,0.8058784641784573,-0.6229963540603755,-0.0569516713371867,0.5660446827231888,0.7023946015237371,4,"[{""feature"": ""dry_spell_events_14d"", ""from"": 3.0, ""to"": 2.0, ""standardized_delta"": 0.883, ""prediction_gain_t_ha"": 0.3998}, {""feature"": ""heavy_rain_days_10"", ""from"": 30.0, ""to"": 26.0, ""standardized_delta"": 0.7286, ""prediction_gain_t_ha"": 0.1215}, {""feature"": ""max_7day_rain"", ""from"": 112.25, ""to"": 114.915, ""standardized_delta"": 0.1105, ""prediction_gain_t_ha"": 0.015}, {""feature"": ""frost_days_0"", ""from"": 182.0, ""to"": 178.5, ""standardized_delta"": 0.2866, ""prediction_gain_t_ha"": 0.0297}]"
Barley,Colorado,1992,spring,rain_mean,drought,4.3579,5.093406700986691,0.7355067009866909,-0.5734420342503216,-0.009409972880335562,0.5640320613699861,0.7668618934583878,4,"[{""feature"": ""rain_mean"", ""from"": 1.418, ""to"": 1.95, ""standardized_delta"": 1.7111, ""prediction_gain_t_ha"": 0.244}, {""feature"": ""rain_sum"", ""from"": 259.56, ""to"": 356.76, ""standardized_delta"": 1.7083, ""prediction_gain_t_ha"": 0.2065}, {""feature"": ""heavy_rain_days_10"", ""from"": 1.0, ""to"": 3.0, ""standardized_delta"": 1.1067, ""prediction_gain_t_ha"": 0.0843}, {""feature"": ""wet_days_1mm"", ""from"": 73.0, ""to"": 78.0, ""standardized_delta"": 0.389, ""prediction_gain_t_ha"": 0.0292}]"
