crop,region,year,step,feature,from_value,to_value,standardized_delta,prediction_before_t_ha,prediction_after_t_ha,prediction_gain_t_ha
Barley,Colorado,1990,1,rain_mean,1.648,1.562,0.2766098226537277,-0.5854088856542646,-0.5197228164477599,0.06568606920650477
Barley,Colorado,1990,2,rain_sum,301.59,356.76,0.9696090530396623,-0.5197228164477599,-0.33617177995112346,0.1835510364966364
Barley,Colorado,1990,3,season_tmax_mean,19.712,19.62,0.08621822576072159,-0.33617177995112346,-0.3235833741926554,0.012588405758468035
Barley,Colorado,1990,4,wet_days_1mm,78.0,51.400000000000006,2.069414784574758,-0.3235833741926554,-0.09533924707870879,0.22824412711394665
Oats,Colorado,1990,1,rain_mean,1.648,1.562,0.2766098226537277,-0.3606533666309084,-0.3244652569660709,0.03618810966483749
Oats,Colorado,1990,2,season_tmax_mean,19.712,19.62,0.08621822576072159,-0.3244652569660709,-0.3150371764622738,0.00942808050379712
Oats,Colorado,1990,3,rain_sum,301.59,285.92,0.2753991999480055,-0.3150371764622738,-0.2868146672401465,0.028222509222127323
Oats,Colorado,1990,4,wet_days_1mm,78.0,51.400000000000006,2.069414784574758,-0.2868146672401465,-0.12410427238044651,0.16271039485969996
Oats,Montana,1990,1,rain_sum,282.34,350.57,0.9862071651981296,-0.38786075043200996,-0.21832491607226068,0.16953583435974928
Oats,Montana,1990,2,rain_mean,1.543,1.771,0.6030130375695644,-0.21832491607226068,-0.13408717217021743,0.08423774390204325
Oats,Montana,1990,3,max_consecutive_heat_days_30,4.0,3.0,0.3217589040505001,-0.13408717217021743,-0.11666778124207006,0.01741939092814737
Oats,Montana,1990,4,wet_days_1mm,66.0,68.0,0.17023596363492063,-0.11666778124207006,-0.10645074272619172,0.010217038515878338
Barley,Colorado,1991,1,rain_mean,1.682,1.771,0.2862590025137418,-0.5236963720199761,-0.4064276838034627,0.11726868821651337
Barley,Colorado,1991,2,rain_sum,307.78,324.15,0.28770165304076983,-0.4064276838034627,-0.31553826029354914,0.09088942350991358
Barley,Colorado,1991,3,heavy_rain_days_10,2.0,3.0,0.5533512052105463,-0.31553826029354914,-0.18507986383072453,0.13045839646282462
Barley,Colorado,1991,4,max_dry_spell_1mm,14.0,17.0,0.5742248728847692,-0.18507986383072453,-0.0808980881753362,0.10418177565538833
Barley,Texas,1991,1,max_7day_rain,81.41,81.975,0.01872583647661114,-0.31615995303477484,-0.31157681044287056,0.004583142591904288
Barley,Texas,1991,2,heatwave_events_3d_35,6.0,3.0,1.2000695712671254,-0.31157681044287056,-0.1458125964152213,0.16576421402764926
Barley,Texas,1991,3,rain_mean,3.039,2.7485,0.47006437292807335,-0.1458125964152213,-0.10580783798942692,0.04000475842579437
Barley,Texas,1991,4,heat_degree_days_35,42.95,0.0,0.4041599307325666,-0.10580783798942692,-0.07722536038669892,0.028582477602728
Oats,Iowa,1991,1,heat_degree_days_35,0.0,0.7450000000000001,0.045040684008046616,-0.37236020627112754,-0.3636719252605795,0.008688281010548027
Oats,Iowa,1991,2,max_consecutive_heat_days_30,7.0,4.0,0.3958851873223702,-0.3636719252605795,-0.2963590031837444,0.06731292207683509
Oats,Iowa,1991,3,wet_days_1mm,79.0,72.0,0.4699739230320777,-0.2963590031837444,-0.2322454615681622,0.06411354161558222
Oats,Iowa,1991,4,max_3day_rain,53.83,63.205,0.47903456492612034,-0.2322454615681622,-0.17785744238987525,0.05438801917828695
Oats,Minnesota,1991,1,dry_spell_events_7d,2.0,3.0,0.6930048314864428,-0.4571534005263489,-0.3538025374484703,0.10335086307787861
Oats,Minnesota,1991,2,heavy_rain_days_25,2.0,3.0,0.6720424487997773,-0.3538025374484703,-0.30534468396317604,0.048457853485294244
Oats,Minnesota,1991,3,frost_events_2d,4.0,3.0,0.9722196454305163,-0.30534468396317604,-0.24160965931399708,0.06373502464917896
Oats,Minnesota,1991,4,rain_mean,3.651,2.99,1.096534384739889,-0.24160965931399708,-0.17556593943030402,0.06604371988369306
Wheat,Illinois,1991,1,rain_sum,836.39,804.935,0.22052164994224988,-0.6891355134642925,-0.6422701274088504,0.046865386055442104
Wheat,Illinois,1991,2,dry_days_1mm,204.0,204.5,0.04808938092197329,-0.6422701274088504,-0.6324816486140811,0.009788478794769295
Wheat,Illinois,1991,3,dry_spell_events_14d,3.0,2.0,0.8821894264069577,-0.6324816486140811,-0.4952423419779197,0.13723930663616135
Wheat,Illinois,1991,4,max_7day_rain,107.81,108.83,0.03529623670317551,-0.4952423419779197,-0.4909328847152384,0.004309457262681338
Wheat,Washington,1991,1,dry_spell_events_14d,3.0,2.0,0.8830079106650346,-0.6229963540603755,-0.22320535146446446,0.399791002595911
