method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
02_grouped_driver_scaa,Barley,Colorado,1990,heat,heat_degree_days_30,4.3041,4.9403294294294255,0.6362294294294255,0.2792118879726354,0.43885409108320306,"In Colorado Barley 1990, heat exposure was the dominant modelled driver; moving heat_degree_days_30 toward feasible normal levels recovered 0.279 t/ha (43.9%) of the 0.636 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Colorado,1990,heat,heat_degree_days_30,1.7934,2.0998372413793227,0.3064372413793226,0.21882272900058888,0.7140866038854582,"In Colorado Oats 1990, heat exposure was the dominant modelled driver; moving heat_degree_days_30 toward feasible normal levels recovered 0.219 t/ha (71.4%) of the 0.306 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Montana,1990,drought,max_dry_spell_1mm,1.4347,1.9463192192192196,0.5116192192192195,0.36918785963823325,0.7216067062563633,"In Montana Oats 1990, drought/dry-spell stress was the dominant modelled driver; moving max_dry_spell_1mm toward feasible normal levels recovered 0.369 t/ha (72.2%) of the 0.512 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Barley,Colorado,1991,excess_rain,wet_days_1mm,4.3041,5.016868065208058,0.7127680652080581,0.29204399006373033,0.40973214755136683,"In Colorado Barley 1991, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.292 t/ha (41.0%) of the 0.713 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Barley,Texas,1991,drought,dry_days_2mm,1.7216,2.0867878787878986,0.3651878787878986,0.26620130865828073,0.7289434401323344,"In Texas Barley 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_days_2mm toward feasible normal levels recovered 0.266 t/ha (72.9%) of the 0.365 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Iowa,1991,excess_rain,heavy_rain_days_20,1.7934,2.1940560145860033,0.4006560145860032,0.227935513509853,0.5689057575870368,"In Iowa Oats 1991, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_20 toward feasible normal levels recovered 0.228 t/ha (56.9%) of the 0.401 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Minnesota,1991,drought,dry_days_1mm,1.4347,1.9859069412269363,0.5512069412269363,0.349870970252683,0.6347361473240924,"In Minnesota Oats 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.350 t/ha (63.5%) of the 0.551 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Illinois,1991,drought,dry_spell_events_14d,2.152,3.0019648348348085,0.8499648348348083,0.35160732879147666,0.41367279489840536,"In Illinois Wheat 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.352 t/ha (41.4%) of the 0.850 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Washington,1991,drought,rain_mean,3.0868,3.8926784641784575,0.8058784641784573,0.4725876207912221,0.5864254249218529,"In Washington Wheat 1991, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.473 t/ha (58.6%) of the 0.806 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Barley,Colorado,1992,excess_rain,max_1day_rain,4.3579,5.093406700986691,0.7355067009866909,0.44120194052372647,0.5998612112328126,"In Colorado Barley 1992, excess rainfall or wetness was the dominant modelled driver; moving max_1day_rain toward feasible normal levels recovered 0.441 t/ha (60.0%) of the 0.736 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Barley,Washington,1992,excess_rain,heavy_rain_days_25,2.421,3.2568276319176324,0.8358276319176325,0.49578328770342495,0.5931645099671489,"In Washington Barley 1992, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_25 toward feasible normal levels recovered 0.496 t/ha (59.3%) of the 0.836 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Nebraska,1992,heat,heatwave_events_3d_30,2.0175,2.416996151866151,0.39949615186615084,0.23918749953953466,0.5987229124041055,"In Nebraska Wheat 1992, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.239 t/ha (59.9%) of the 0.399 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Washington,1992,drought,max_dry_spell_1mm,3.3222,3.901601823251818,0.5794018232518181,0.4183957835367647,0.7221167879461826,"In Washington Wheat 1992, drought/dry-spell stress was the dominant modelled driver; moving max_dry_spell_1mm toward feasible normal levels recovered 0.418 t/ha (72.2%) of the 0.579 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Barley,Colorado,1993,excess_rain,max_7day_rain,4.5731,5.169945336765323,0.5968453367653233,0.2811498380923855,0.47105978848073377,"In Colorado Barley 1993, excess rainfall or wetness was the dominant modelled driver; moving max_7day_rain toward feasible normal levels recovered 0.281 t/ha (47.1%) of the 0.597 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Illinois,1993,drought,dry_days_1mm,1.8292,2.2663275203775086,0.4371275203775087,0.4001509359921169,0.915410074493918,"In Illinois Oats 1993, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.400 t/ha (91.5%) of the 0.437 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Iowa,1993,drought,rain_mean,1.4347,2.2300232990132898,0.7953232990132897,0.4383439392557457,0.5511518898032699,"In Iowa Oats 1993, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.438 t/ha (55.1%) of the 0.795 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Kansas,1993,excess_rain,heavy_rain_days_50,1.2195,1.734650960960959,0.515150960960959,0.22416040285545757,0.4351353677712458,"In Kansas Oats 1993, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_50 toward feasible normal levels recovered 0.224 t/ha (43.5%) of the 0.515 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Nebraska,1993,drought,dry_days_2mm,1.5423,2.06665645216645,0.5243564521664501,0.41143186104748586,0.7846415531793288,"In Nebraska Oats 1993, drought/dry-spell stress was the dominant modelled driver; moving dry_days_2mm toward feasible normal levels recovered 0.411 t/ha (78.5%) of the 0.524 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Iowa,1993,drought,dry_days_2mm,1.6813,2.680891674876861,0.999591674876861,0.3445999104101221,0.34474067668938235,"In Iowa Wheat 1993, drought/dry-spell stress was the dominant modelled driver; moving dry_days_2mm toward feasible normal levels recovered 0.345 t/ha (34.5%) of the 1.000 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Barley,Texas,1994,excess_rain,heavy_rain_days_25,1.7754,2.1288496969697093,0.3534496969697092,0.23676265737777896,0.6698623860980977,"In Texas Barley 1994, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_25 toward feasible normal levels recovered 0.237 t/ha (67.0%) of the 0.353 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Barley,Washington,1994,heat,max_consecutive_heat_days_30,2.5286,3.2731692277992277,0.7445692277992277,0.4198584152731802,0.5638943963802846,"In Washington Barley 1994, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.420 t/ha (56.4%) of the 0.745 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Washington,1994,heat,max_consecutive_heat_days_30,2.0803,2.5619428571428564,0.4816428571428566,0.37602761358543507,0.7807187587418207,"In Washington Oats 1994, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.376 t/ha (78.1%) of the 0.482 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Minnesota,1994,drought,dry_spell_events_14d,1.883,2.5777693050193022,0.6947693050193022,0.39429700299711734,0.5675221978699287,"In Minnesota Wheat 1994, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.394 t/ha (56.8%) of the 0.695 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Texas,1994,excess_rain,heavy_rain_days_25,1.7485,2.004965555555554,0.25646555555555395,0.1569211048827675,0.6118603511603968,"In Texas Wheat 1994, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_25 toward feasible normal levels recovered 0.157 t/ha (61.2%) of the 0.256 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,Minnesota,1995,excess_rain,wet_days_1mm,1.7216,2.0585443157443137,0.3369443157443137,0.19409175578001084,0.5760351093956282,"In Minnesota Oats 1995, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.194 t/ha (57.6%) of the 0.337 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Oats,South Dakota,1995,heat,season_tmax_mean,1.6499,2.0826472114972034,0.4327472114972035,0.2304113607731767,0.5324386955054143,"In South Dakota Oats 1995, heat exposure was the dominant modelled driver; moving season_tmax_mean toward feasible normal levels recovered 0.230 t/ha (53.2%) of the 0.433 t/ha detrended yield shortfall."
02_grouped_driver_scaa,Wheat,Kansas,1995,heat,heatwave_events_3d_30,1.7485,2.4706704633204666,0.7221704633204666,0.4589621532558362,0.6355316044712972,"In Kansas Wheat 1995, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.459 t/ha (63.6%) of the 0.722 t/ha detrended yield shortfall."
