crop,region,year,window,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,n_changed_features,changed_features_json
Barley,Colorado,1990,spring,heat,heat_degree_days_30,4.3041,4.9403294294294255,0.6362294294294255,-0.5854088856542646,-0.3061969976816292,0.2792118879726354,0.43885409108320306,7,"[{""feature"": ""season_tmax_mean"", ""from"": 19.712, ""to"": 19.62, ""standardized_delta"": 0.0862, ""prediction_gain_t_ha"": 0.2792}, {""feature"": ""season_tmean_mean"", ""from"": 11.661, ""to"": 11.575, ""standardized_delta"": 0.1029, ""prediction_gain_t_ha"": 0.2792}, {""feature"": ""growing_degree_days_base5"", ""from"": 1301.845, ""to"": 1338.685, ""standardized_delta"": 0.3009, ""prediction_gain_t_ha"": 0.2792}, {""feature"": ""heat_days_30"", ""from"": 5.0, ""to"": 1.0, ""standardized_delta"": 2.0828, ""prediction_gain_t_ha"": 0.2792}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 3.0, ""to"": 1.0, ""standardized_delta"": 1.8116, ""prediction_gain_t_ha"": 0.2792}, {""feature"": ""heatwave_events_3d_30"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 2.7502, ""prediction_gain_t_ha"": 0.2792}, {""feature"": ""heat_degree_days_30"", ""from"": 4.32, ""to"": 0.05, ""standardized_delta"": 3.6023, ""prediction_gain_t_ha"": 0.2792}]"
Oats,Colorado,1990,spring,heat,heat_degree_days_30,1.7934,2.0998372413793227,0.3064372413793226,-0.36065336663090825,-0.14183063763031964,0.2188227290005886,0.7140866038854573,7,"[{""feature"": ""season_tmax_mean"", ""from"": 19.712, ""to"": 19.62, ""standardized_delta"": 0.0862, ""prediction_gain_t_ha"": 0.2188}, {""feature"": ""season_tmean_mean"", ""from"": 11.661, ""to"": 11.575, ""standardized_delta"": 0.1029, ""prediction_gain_t_ha"": 0.2188}, {""feature"": ""growing_degree_days_base5"", ""from"": 1301.845, ""to"": 1338.685, ""standardized_delta"": 0.3009, ""prediction_gain_t_ha"": 0.2188}, {""feature"": ""heat_days_30"", ""from"": 5.0, ""to"": 1.0, ""standardized_delta"": 2.0828, ""prediction_gain_t_ha"": 0.2188}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 3.0, ""to"": 1.0, ""standardized_delta"": 1.8116, ""prediction_gain_t_ha"": 0.2188}, {""feature"": ""heatwave_events_3d_30"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 2.7502, ""prediction_gain_t_ha"": 0.2188}, {""feature"": ""heat_degree_days_30"", ""from"": 4.32, ""to"": 0.05, ""standardized_delta"": 3.6023, ""prediction_gain_t_ha"": 0.2188}]"
Oats,Montana,1990,spring,drought,max_dry_spell_1mm,1.4347,1.9463192192192196,0.5116192192192195,-0.3878607504320099,-0.01867289079377666,0.36918785963823325,0.7216067062563633,8,"[{""feature"": ""rain_sum"", ""from"": 282.34, ""to"": 350.57, ""standardized_delta"": 0.9862, ""prediction_gain_t_ha"": 0.3692}, {""feature"": ""rain_mean"", ""from"": 1.543, ""to"": 1.916, ""standardized_delta"": 0.9865, ""prediction_gain_t_ha"": 0.3692}, {""feature"": ""dry_days_1mm"", ""from"": 117.0, ""to"": 115.0, ""standardized_delta"": 0.1702, ""prediction_gain_t_ha"": 0.3692}, {""feature"": ""dry_days_2mm"", ""from"": 143.0, ""to"": 135.0, ""standardized_delta"": 0.8793, ""prediction_gain_t_ha"": 0.3692}, {""feature"": ""max_dry_spell_1mm"", ""from"": 27.0, ""to"": 13.0, ""standardized_delta"": 2.6626, ""prediction_gain_t_ha"": 0.3692}, {""feature"": ""dry_spell_events_7d"", ""from"": 4.0, ""to"": 5.0, ""standardized_delta"": 0.582, ""prediction_gain_t_ha"": 0.3692}, {""feature"": ""dry_spell_events_14d"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 1.1693, ""prediction_gain_t_ha"": 0.3692}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 12.0, ""to"": 14.0, ""standardized_delta"": 0.2149, ""prediction_gain_t_ha"": 0.3692}]"
Barley,Colorado,1991,spring,excess_rain,wet_days_1mm,4.3041,5.016868065208058,0.7127680652080581,-0.523696372019976,-0.2316523819562457,0.2920439900637303,0.4097321475513668,5,"[{""feature"": ""heavy_rain_days_10"", ""from"": 2.0, ""to"": 3.0, ""standardized_delta"": 0.5534, ""prediction_gain_t_ha"": 0.292}, {""feature"": ""max_1day_rain"", ""from"": 14.0, ""to"": 16.57, ""standardized_delta"": 0.3968, ""prediction_gain_t_ha"": 0.292}, {""feature"": ""max_3day_rain"", ""from"": 26.75, ""to"": 28.61, ""standardized_delta"": 0.1858, ""prediction_gain_t_ha"": 0.292}, {""feature"": ""max_7day_rain"", ""from"": 45.55, ""to"": 42.74, ""standardized_delta"": 0.2165, ""prediction_gain_t_ha"": 0.292}, {""feature"": ""wet_days_1mm"", ""from"": 88.0, ""to"": 71.0, ""standardized_delta"": 1.3226, ""prediction_gain_t_ha"": 0.292}]"
Barley,Texas,1991,spring,drought,dry_days_2mm,1.7216,2.0867878787878986,0.3651878787878986,-0.3161599530347749,-0.049958644376494145,0.26620130865828073,0.7289434401323344,8,"[{""feature"": ""rain_sum"", ""from"": 556.07, ""to"": 440.58, ""standardized_delta"": 1.0213, ""prediction_gain_t_ha"": 0.2662}, {""feature"": ""rain_mean"", ""from"": 3.039, ""to"": 2.4075, ""standardized_delta"": 1.0218, ""prediction_gain_t_ha"": 0.2662}, {""feature"": ""dry_days_1mm"", ""from"": 96.0, ""to"": 128.5, ""standardized_delta"": 2.4341, ""prediction_gain_t_ha"": 0.2662}, {""feature"": ""dry_days_2mm"", ""from"": 113.0, ""to"": 141.5, ""standardized_delta"": 2.6325, ""prediction_gain_t_ha"": 0.2662}, {""feature"": ""max_dry_spell_1mm"", ""from"": 9.0, ""to"": 21.0, ""standardized_delta"": 1.0265, ""prediction_gain_t_ha"": 0.2662}, {""feature"": ""dry_spell_events_7d"", ""from"": 4.0, ""to"": 6.5, ""standardized_delta"": 1.7346, ""prediction_gain_t_ha"": 0.2662}, {""feature"": ""dry_spell_events_14d"", ""from"": 0.0, ""to"": 2.0, ""standardized_delta"": 1.6976, ""prediction_gain_t_ha"": 0.2662}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 64.0, ""to"": 97.0, ""standardized_delta"": 1.8906, ""prediction_gain_t_ha"": 0.2662}]"
Oats,Iowa,1991,spring,excess_rain,heavy_rain_days_20,1.7934,2.1940560145860033,0.4006560145860032,-0.3723602062711274,-0.14442469276127437,0.22793551350985305,0.5689057575870369,7,"[{""feature"": ""heavy_rain_days_10"", ""from"": 25.0, ""to"": 20.0, ""standardized_delta"": 0.7313, ""prediction_gain_t_ha"": 0.2279}, {""feature"": ""heavy_rain_days_20"", ""from"": 9.0, ""to"": 6.0, ""standardized_delta"": 0.8653, ""prediction_gain_t_ha"": 0.2279}, {""feature"": ""heavy_rain_days_25"", ""from"": 5.0, ""to"": 3.0, ""standardized_delta"": 0.7697, ""prediction_gain_t_ha"": 0.2279}, {""feature"": ""max_1day_rain"", ""from"": 34.18, ""to"": 40.625, ""standardized_delta"": 0.5917, ""prediction_gain_t_ha"": 0.2279}, {""feature"": ""max_3day_rain"", ""from"": 53.83, ""to"": 63.205, ""standardized_delta"": 0.479, ""prediction_gain_t_ha"": 0.2279}, {""feature"": ""max_7day_rain"", ""from"": 94.28, ""to"": 82.275, ""standardized_delta"": 0.4405, ""prediction_gain_t_ha"": 0.2279}, {""feature"": ""wet_days_1mm"", ""from"": 79.0, ""to"": 72.0, ""standardized_delta"": 0.47, ""prediction_gain_t_ha"": 0.2279}]"
Oats,Minnesota,1991,spring,drought,dry_days_1mm,1.4347,1.9859069412269363,0.5512069412269363,-0.4571534005263488,-0.10728243027366578,0.349870970252683,0.6347361473240924,6,"[{""feature"": ""rain_sum"", ""from"": 668.22, ""to"": 547.17, ""standardized_delta"": 1.0972, ""prediction_gain_t_ha"": 0.3499}, {""feature"": ""rain_mean"", ""from"": 3.651, ""to"": 2.99, ""standardized_delta"": 1.0965, ""prediction_gain_t_ha"": 0.3499}, {""feature"": ""dry_days_1mm"", ""from"": 92.0, ""to"": 112.0, ""standardized_delta"": 2.3145, ""prediction_gain_t_ha"": 0.3499}, {""feature"": ""dry_days_2mm"", ""from"": 110.0, ""to"": 128.0, ""standardized_delta"": 2.1126, ""prediction_gain_t_ha"": 0.3499}, {""feature"": ""max_dry_spell_1mm"", ""from"": 7.0, ""to"": 12.0, ""standardized_delta"": 1.4235, ""prediction_gain_t_ha"": 0.3499}, {""feature"": ""dry_spell_events_7d"", ""from"": 2.0, ""to"": 3.0, ""standardized_delta"": 0.693, ""prediction_gain_t_ha"": 0.3499}]"
Wheat,Illinois,1991,winter,drought,dry_spell_events_14d,2.152,3.0019648348348085,0.8499648348348083,-0.6891355134642925,-0.337528184672816,0.3516073287914765,0.4136727948984052,8,"[{""feature"": ""rain_sum"", ""from"": 836.39, ""to"": 804.935, ""standardized_delta"": 0.2205, ""prediction_gain_t_ha"": 0.3516}, {""feature"": ""rain_mean"", ""from"": 2.76, ""to"": 2.6565, ""standardized_delta"": 0.2196, ""prediction_gain_t_ha"": 0.3516}, {""feature"": ""dry_days_1mm"", ""from"": 204.0, ""to"": 204.5, ""standardized_delta"": 0.0481, ""prediction_gain_t_ha"": 0.3516}, {""feature"": ""dry_days_2mm"", ""from"": 225.0, ""to"": 226.0, ""standardized_delta"": 0.1026, ""prediction_gain_t_ha"": 0.3516}, {""feature"": ""max_dry_spell_1mm"", ""from"": 16.0, ""to"": 19.0, ""standardized_delta"": 0.6089, ""prediction_gain_t_ha"": 0.3516}, {""feature"": ""dry_spell_events_7d"", ""from"": 11.0, ""to"": 9.0, ""standardized_delta"": 1.0226, ""prediction_gain_t_ha"": 0.3516}, {""feature"": ""dry_spell_events_14d"", ""from"": 3.0, ""to"": 1.0, ""standardized_delta"": 1.7644, ""prediction_gain_t_ha"": 0.3516}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 9.0, ""to"": 8.0, ""standardized_delta"": 0.1707, ""prediction_gain_t_ha"": 0.3516}]"
Wheat,Washington,1991,winter,drought,rain_mean,3.0868,3.8926784641784575,0.8058784641784573,-0.6229963540603753,-0.15040873326915355,0.4725876207912218,0.5864254249218526,7,"[{""feature"": ""rain_sum"", ""from"": 1009.41, ""to"": 771.81, ""standardized_delta"": 1.7603, ""prediction_gain_t_ha"": 0.4726}, {""feature"": ""rain_mean"", ""from"": 3.331, ""to"": 2.539, ""standardized_delta"": 1.7804, ""prediction_gain_t_ha"": 0.4726}, {""feature"": ""dry_days_1mm"", ""from"": 138.0, ""to"": 156.5, ""standardized_delta"": 0.9364, ""prediction_gain_t_ha"": 0.4726}, {""feature"": ""dry_days_2mm"", ""from"": 183.0, ""to"": 198.0, ""standardized_delta"": 0.9812, ""prediction_gain_t_ha"": 0.4726}, {""feature"": ""max_dry_spell_1mm"", ""from"": 15.0, ""to"": 17.0, ""standardized_delta"": 0.306, ""prediction_gain_t_ha"": 0.4726}, {""feature"": ""dry_spell_events_7d"", ""from"": 5.0, ""to"": 7.0, ""standardized_delta"": 0.8658, ""prediction_gain_t_ha"": 0.4726}, {""feature"": ""dry_spell_events_14d"", ""from"": 3.0, ""to"": 2.0, ""standardized_delta"": 0.883, ""prediction_gain_t_ha"": 0.4726}]"
Barley,Colorado,1992,spring,excess_rain,max_1day_rain,4.3579,5.093406700986691,0.7355067009866909,-0.5734420342503215,-0.1322400937265949,0.4412019405237266,0.5998612112328127,7,"[{""feature"": ""heavy_rain_days_10"", ""from"": 1.0, ""to"": 3.0, ""standardized_delta"": 1.1067, ""prediction_gain_t_ha"": 0.4412}, {""feature"": ""heavy_rain_days_20"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 2.4138, ""prediction_gain_t_ha"": 0.4412}, {""feature"": ""heavy_rain_days_25"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 3.428, ""prediction_gain_t_ha"": 0.4412}, {""feature"": ""max_1day_rain"", ""from"": 39.39, ""to"": 16.57, ""standardized_delta"": 3.5232, ""prediction_gain_t_ha"": 0.4412}, {""feature"": ""max_3day_rain"", ""from"": 50.55, ""to"": 28.61, ""standardized_delta"": 2.1916, ""prediction_gain_t_ha"": 0.4412}, {""feature"": ""max_7day_rain"", ""from"": 54.13, ""to"": 42.74, ""standardized_delta"": 0.8777, ""prediction_gain_t_ha"": 0.4412}, {""feature"": ""wet_days_1mm"", ""from"": 73.0, ""to"": 71.0, ""standardized_delta"": 0.1556, ""prediction_gain_t_ha"": 0.4412}]"
