crop,region,year,driver_group,feature,from_value,to_value,standardized_delta,prediction_gain_t_ha
Barley,Colorado,1990,heat,season_tmax_mean,19.712,19.62,0.08621822576072159,0.2792118879726354
Barley,Colorado,1990,heat,season_tmean_mean,11.661,11.575,0.10291447879825252,0.2792118879726354
Barley,Colorado,1990,heat,growing_degree_days_base5,1301.845,1338.685,0.300924427213972,0.2792118879726354
Barley,Colorado,1990,heat,heat_days_30,5.0,1.0,2.0827510482755263,0.2792118879726354
Barley,Colorado,1990,heat,max_consecutive_heat_days_30,3.0,1.0,1.811643254631353,0.2792118879726354
Barley,Colorado,1990,heat,heatwave_events_3d_30,1.0,0.0,2.7502066038093145,0.2792118879726354
Barley,Colorado,1990,heat,heat_degree_days_30,4.32,0.05,3.602323457390122,0.2792118879726354
Oats,Colorado,1990,heat,season_tmax_mean,19.712,19.62,0.08621822576072159,0.21882272900058888
Oats,Colorado,1990,heat,season_tmean_mean,11.661,11.575,0.10291447879825252,0.21882272900058888
Oats,Colorado,1990,heat,growing_degree_days_base5,1301.845,1338.685,0.300924427213972,0.21882272900058888
Oats,Colorado,1990,heat,heat_days_30,5.0,1.0,2.0827510482755263,0.21882272900058888
Oats,Colorado,1990,heat,max_consecutive_heat_days_30,3.0,1.0,1.811643254631353,0.21882272900058888
Oats,Colorado,1990,heat,heatwave_events_3d_30,1.0,0.0,2.7502066038093145,0.21882272900058888
Oats,Colorado,1990,heat,heat_degree_days_30,4.32,0.05,3.602323457390122,0.21882272900058888
Oats,Montana,1990,drought,rain_sum,282.34,350.57,0.9862071651981296,0.36918785963823325
Oats,Montana,1990,drought,rain_mean,1.543,1.916,0.9865081711116119,0.36918785963823325
Oats,Montana,1990,drought,dry_days_1mm,117.0,115.0,0.17023596363492063,0.36918785963823325
Oats,Montana,1990,drought,dry_days_2mm,143.0,135.0,0.8793113445421232,0.36918785963823325
Oats,Montana,1990,drought,max_dry_spell_1mm,27.0,13.0,2.6626262413564024,0.36918785963823325
Oats,Montana,1990,drought,dry_spell_events_7d,4.0,5.0,0.5820017060492926,0.36918785963823325
Oats,Montana,1990,drought,dry_spell_events_14d,1.0,0.0,1.1693361102674926,0.36918785963823325
Oats,Montana,1990,drought,hot_dry_days_30_1mm,12.0,14.0,0.21494375787481246,0.36918785963823325
Barley,Colorado,1991,excess_rain,heavy_rain_days_10,2.0,3.0,0.5533512052105463,0.29204399006373033
Barley,Colorado,1991,excess_rain,max_1day_rain,14.0,16.57,0.3967864461441583,0.29204399006373033
Barley,Colorado,1991,excess_rain,max_3day_rain,26.75,28.61,0.18579655406584833,0.29204399006373033
Barley,Colorado,1991,excess_rain,max_7day_rain,45.55,42.74,0.21653705728110634,0.29204399006373033
Barley,Colorado,1991,excess_rain,wet_days_1mm,88.0,71.0,1.3225583209688305,0.29204399006373033
Barley,Texas,1991,drought,rain_sum,556.07,440.58000000000004,1.0213132382045742,0.26620130865828073
Barley,Texas,1991,drought,rain_mean,3.039,2.4074999999999998,1.0218438950226447,0.26620130865828073
Barley,Texas,1991,drought,dry_days_1mm,96.0,128.5,2.434099266726094,0.26620130865828073
Barley,Texas,1991,drought,dry_days_2mm,113.0,141.5,2.63248459566657,0.26620130865828073
Barley,Texas,1991,drought,max_dry_spell_1mm,9.0,21.0,1.0265004785067808,0.26620130865828073
Barley,Texas,1991,drought,dry_spell_events_7d,4.0,6.5,1.7345664963421141,0.26620130865828073
Barley,Texas,1991,drought,dry_spell_events_14d,0.0,2.0,1.697646863442188,0.26620130865828073
Barley,Texas,1991,drought,hot_dry_days_30_1mm,64.0,97.0,1.890577927206215,0.26620130865828073
Oats,Iowa,1991,excess_rain,heavy_rain_days_10,25.0,20.0,0.7312600100060375,0.227935513509853
Oats,Iowa,1991,excess_rain,heavy_rain_days_20,9.0,6.0,0.865253200863353,0.227935513509853
Oats,Iowa,1991,excess_rain,heavy_rain_days_25,5.0,3.0,0.7697098633735563,0.227935513509853
Oats,Iowa,1991,excess_rain,max_1day_rain,34.18,40.625,0.5917350328308332,0.227935513509853
Oats,Iowa,1991,excess_rain,max_3day_rain,53.83,63.205,0.47903456492612034,0.227935513509853
Oats,Iowa,1991,excess_rain,max_7day_rain,94.28,82.275,0.4405152247919613,0.227935513509853
Oats,Iowa,1991,excess_rain,wet_days_1mm,79.0,72.0,0.4699739230320777,0.227935513509853
Oats,Minnesota,1991,drought,rain_sum,668.22,547.17,1.097190538978697,0.349870970252683
Oats,Minnesota,1991,drought,rain_mean,3.651,2.99,1.096534384739889,0.349870970252683
Oats,Minnesota,1991,drought,dry_days_1mm,92.0,112.0,2.314513093901005,0.349870970252683
Oats,Minnesota,1991,drought,dry_days_2mm,110.0,128.0,2.1126013419447345,0.349870970252683
Oats,Minnesota,1991,drought,max_dry_spell_1mm,7.0,12.0,1.4235222582280764,0.349870970252683
Oats,Minnesota,1991,drought,dry_spell_events_7d,2.0,3.0,0.6930048314864428,0.349870970252683
Wheat,Illinois,1991,drought,rain_sum,836.39,804.935,0.22052164994224988,0.35160732879147666
Wheat,Illinois,1991,drought,rain_mean,2.76,2.6565000000000003,0.21956879334313717,0.35160732879147666
Wheat,Illinois,1991,drought,dry_days_1mm,204.0,204.5,0.04808938092197329,0.35160732879147666
Wheat,Illinois,1991,drought,dry_days_2mm,225.0,226.0,0.10255329374278482,0.35160732879147666
Wheat,Illinois,1991,drought,max_dry_spell_1mm,16.0,19.0,0.6088889403289827,0.35160732879147666
Wheat,Illinois,1991,drought,dry_spell_events_7d,11.0,9.0,1.0225669432985651,0.35160732879147666
Wheat,Illinois,1991,drought,dry_spell_events_14d,3.0,1.0,1.7643788528139155,0.35160732879147666
Wheat,Illinois,1991,drought,hot_dry_days_30_1mm,9.0,8.0,0.17071337204488304,0.35160732879147666
Wheat,Washington,1991,drought,rain_sum,1009.41,771.81,1.7602779920759997,0.4725876207912221
Wheat,Washington,1991,drought,rain_mean,3.331,2.5389999999999997,1.7803831273584283,0.4725876207912221
Wheat,Washington,1991,drought,dry_days_1mm,138.0,156.5,0.9364152521791075,0.4725876207912221
Wheat,Washington,1991,drought,dry_days_2mm,183.0,198.0,0.9812015276705692,0.4725876207912221
Wheat,Washington,1991,drought,max_dry_spell_1mm,15.0,17.0,0.3059586546668152,0.4725876207912221
Wheat,Washington,1991,drought,dry_spell_events_7d,5.0,7.0,0.8658321592425297,0.4725876207912221
Wheat,Washington,1991,drought,dry_spell_events_14d,3.0,2.0,0.8830079106650346,0.4725876207912221
Barley,Colorado,1992,excess_rain,heavy_rain_days_10,1.0,3.0,1.1067024104210925,0.44120194052372647
Barley,Colorado,1992,excess_rain,heavy_rain_days_20,1.0,0.0,2.4137793047859373,0.44120194052372647
Barley,Colorado,1992,excess_rain,heavy_rain_days_25,1.0,0.0,3.4280333180088163,0.44120194052372647
Barley,Colorado,1992,excess_rain,max_1day_rain,39.39,16.57,3.5232166151788684,0.44120194052372647
Barley,Colorado,1992,excess_rain,max_3day_rain,50.55,28.61,2.191600213013287,0.44120194052372647
Barley,Colorado,1992,excess_rain,max_7day_rain,54.13,42.74,0.8777071467728845,0.44120194052372647
Barley,Colorado,1992,excess_rain,wet_days_1mm,73.0,71.0,0.1555950965845683,0.44120194052372647
Barley,Washington,1992,excess_rain,heavy_rain_days_10,6.0,2.0,2.4797893837952163,0.49578328770342495
Barley,Washington,1992,excess_rain,heavy_rain_days_20,1.0,0.0,2.168497395059757,0.49578328770342495
Barley,Washington,1992,excess_rain,heavy_rain_days_25,1.0,0.0,4.559547530644958,0.49578328770342495
Barley,Washington,1992,excess_rain,max_1day_rain,29.56,13.15,3.249388224178599,0.49578328770342495
Barley,Washington,1992,excess_rain,max_3day_rain,39.0,22.8,1.7006001427187816,0.49578328770342495
Barley,Washington,1992,excess_rain,max_7day_rain,41.16,36.6,0.4279536367325828,0.49578328770342495
