country,region,crop,year,window,season_days,rain_sum,rain_mean,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,dry_spell_events_7d,dry_spell_events_14d,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,season_tmax_mean,season_tmin_mean,season_tmean_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,hot_dry_days_30_1mm,frost_days_0,cold_days_5,min_tmin,frost_events_2d,radiation_sum,radiation_mean,rain_sum_early,heat_days_35_early,frost_days_0_early,radiation_sum_early,max_3day_rain_early,rain_sum_mid,heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,max_3day_rain_mid,rain_sum_late,heat_days_35_late,frost_days_0_late,radiation_sum_late,max_3day_rain_late,lat,lon,yield_t_ha,trend_yield_t_ha,trend_residual_t_ha,trend_residual_z,is_low_yield_anomaly
United States,Colorado,Barley,1990,spring,183.0,301.59,1.648,105.0,128.0,13.0,7.0,0.0,2.0,0.0,0.0,0.0,10.7,21.87,42.74,78.0,19.712,3.611,11.661,1301.845,5.0,0.0,0.0,3.0,0.0,1.0,0.0,4.32,0.0,5.0,54.0,94.0,-9.91,5.0,3943.75,21.551,96.29,0.0,51.0,1257.22,20.9,101.38,0.0,3.0,1505.29,21.87,103.92,0.0,0.0,1181.24,15.82,39.0,-105.5,4.3041,4.9403294294294255,-0.6362294294294255,-1.1337152209336827,True
United States,Kansas,Barley,1990,spring,183.0,512.12,2.798,120.0,133.0,24.0,7.0,2.0,19.0,7.0,2.0,0.0,30.19,41.42,79.54,63.0,28.901,15.425,22.163,3146.655,84.0,43.0,12.0,25.0,18.0,8.0,3.0,474.3,151.29,62.0,7.0,19.0,-5.28,3.0,3888.16,21.247,203.52,0.0,7.0,1107.63,38.7,148.65,23.0,0.0,1505.73,40.38,159.95,20.0,0.0,1274.8,41.42,38.5,-98.0,2.3672,2.0134462773584154,0.35375372264158456,0.6127253856448279,False
United States,Minnesota,Barley,1990,spring,183.0,643.99,3.519,109.0,121.0,14.0,5.0,1.0,23.0,5.0,2.0,1.0,50.52,71.58,81.33,74.0,21.007,9.337,15.172,1936.295,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.75,0.0,2.0,23.0,45.0,-7.67,2.0,3402.76,18.594,151.73,0.0,23.0,1104.53,35.49,324.73,0.0,0.0,1276.95,71.58,167.53,0.0,0.0,1021.28,49.48,46.0,-94.0,3.3895,2.9019093093093034,0.4875906906906966,0.9487436785483263,False
United States,Montana,Barley,1990,spring,183.0,282.34,1.543,117.0,143.0,27.0,4.0,1.0,5.0,0.0,0.0,0.0,19.62,33.88,44.03,66.0,20.928,6.794,13.861,1688.17,16.0,1.0,0.0,4.0,1.0,1.0,0.0,31.08,0.49,12.0,28.0,70.0,-8.4,6.0,3937.42,21.516,139.06,0.0,28.0,1186.2,33.88,71.48,1.0,0.0,1520.08,14.86,71.8,0.0,0.0,1231.14,32.65,47.0,-110.0,2.2058,2.527223873873872,-0.32142387387387217,-0.9017166960661294,False
United States,Nebraska,Barley,1990,spring,183.0,368.42,2.013,125.0,140.0,11.0,7.0,0.0,10.0,1.0,0.0,0.0,24.12,36.77,41.25,58.0,26.602,12.216,19.409,2657.86,69.0,25.0,4.0,24.0,7.0,9.0,3.0,284.31,60.22,55.0,11.0,32.0,-6.71,3.0,3892.46,21.27,141.79,0.0,11.0,1172.74,27.53,124.82,15.0,0.0,1503.6,26.2,101.81,10.0,0.0,1216.12,36.77,41.5,-99.8,2.152,2.2084899999999905,-0.05648999999999038,-0.12924306827480644,False
United States,North Dakota,Barley,1990,spring,183.0,364.99,1.994,128.0,143.0,23.0,6.0,2.0,12.0,0.0,0.0,0.0,19.93,34.2,55.61,55.0,23.109,9.138,16.124,2105.36,36.0,0.0,0.0,4.0,0.0,3.0,0.0,58.01,0.0,20.0,25.0,46.0,-7.52,3.0,3797.12,20.749,77.36,0.0,25.0,1205.88,25.63,215.28,0.0,0.0,1462.4,34.2,72.35,0.0,0.0,1128.84,17.16,47.5,-100.5,2.8514,2.592321621621622,0.2590783783783781,0.723748611423044,False
United States,Oklahoma,Barley,1990,spring,183.0,561.08,3.066,117.0,125.0,21.0,5.0,2.0,16.0,8.0,3.0,1.0,51.12,79.17,101.52,66.0,29.007,17.083,23.045,3302.255,94.0,32.0,0.0,34.0,14.0,7.0,3.0,364.83,55.92,69.0,2.0,9.0,-0.99,1.0,3925.29,21.45,287.21,0.0,2.0,1193.27,79.17,90.09,11.0,0.0,1479.36,32.43,183.78,21.0,0.0,1252.66,67.41,35.5,-97.5,2.2058,2.040487272727284,0.16531272727271595,0.47609026898084367,False
United States,South Dakota,Barley,1990,spring,183.0,359.29,1.963,119.0,136.0,23.0,5.0,2.0,10.0,1.0,0.0,0.0,24.91,33.41,50.17,64.0,26.091,11.571,18.831,2563.455,66.0,17.0,2.0,17.0,3.0,9.0,2.0,247.43,36.52,44.0,22.0,28.0,-6.34,3.0,3879.8,21.201,125.61,0.0,22.0,1250.67,33.41,150.18,9.0,0.0,1455.81,32.7,83.5,8.0,0.0,1173.32,18.92,44.5,-100.0,2.6362,2.4178348801102727,0.2183651198897274,0.4623738019065979,False
United States,Texas,Barley,1990,spring,183.0,475.81,2.6,118.0,133.0,31.0,7.0,1.0,12.0,5.0,3.0,0.0,41.72,67.19,81.36,65.0,32.163,19.393,25.778,3802.42,125.0,62.0,4.0,49.0,18.0,9.0,8.0,619.92,157.53,89.0,0.0,2.0,3.47,0.0,3990.14,21.804,217.23,4.0,0.0,1236.32,67.19,131.38,38.0,0.0,1512.12,46.33,127.2,20.0,0.0,1241.7,38.6,31.0,-99.0,2.0444,2.072767272727294,-0.02836727272729389,-0.09035318589665824,False
United States,Washington,Barley,1990,spring,183.0,266.08,1.454,122.0,142.0,21.0,6.0,4.0,4.0,1.0,0.0,0.0,21.5,28.64,39.38,61.0,19.453,6.545,12.999,1478.02,7.0,0.0,0.0,3.0,0.0,1.0,0.0,10.32,0.0,7.0,13.0,72.0,-3.08,2.0,3460.37,18.909,130.7,0.0,13.0,1021.68,24.78,78.66,0.0,0.0,1333.82,16.51,56.72,0.0,0.0,1104.87,28.64,47.4,-120.7,3.1204,3.240486036036037,-0.12008603603603696,-0.19688276312593286,False
