country,region,crop,year,window,season_days,rain_sum,rain_mean,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,dry_spell_events_7d,dry_spell_events_14d,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,season_tmax_mean,season_tmin_mean,season_tmean_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,hot_dry_days_30_1mm,frost_days_0,cold_days_5,min_tmin,frost_events_2d,radiation_sum,radiation_mean,rain_sum_early,heat_days_35_early,frost_days_0_early,radiation_sum_early,max_3day_rain_early,rain_sum_mid,heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,max_3day_rain_mid,rain_sum_late,heat_days_35_late,frost_days_0_late,radiation_sum_late,max_3day_rain_late,lat,lon,yield_t_ha,trend_yield_t_ha,trend_residual_t_ha,trend_residual_z,is_low_yield_anomaly
United States,Colorado,Barley,1990,spring,183.0,301.59,1.648,105.0,128.0,13.0,7.0,0.0,2.0,0.0,0.0,0.0,10.7,21.87,42.74,78.0,19.712,3.611,11.661,1301.845,5.0,0.0,0.0,3.0,0.0,1.0,0.0,4.32,0.0,5.0,54.0,94.0,-9.91,5.0,3943.75,21.551,96.29,0.0,51.0,1257.22,20.9,101.38,0.0,3.0,1505.29,21.87,103.92,0.0,0.0,1181.24,15.82,39.0,-105.5,4.3041,4.9403294294294255,-0.6362294294294255,-1.1337152209336827,True
United States,Colorado,Oats,1990,spring,183.0,301.59,1.648,105.0,128.0,13.0,7.0,0.0,2.0,0.0,0.0,0.0,10.7,21.87,42.74,78.0,19.712,3.611,11.661,1301.845,5.0,0.0,0.0,3.0,0.0,1.0,0.0,4.32,0.0,5.0,54.0,94.0,-9.91,5.0,3943.75,21.551,96.29,0.0,51.0,1257.22,20.9,101.38,0.0,3.0,1505.29,21.87,103.92,0.0,0.0,1181.24,15.82,39.0,-105.5,1.7934,2.0998372413793227,-0.3064372413793226,-1.1464208408048637,True
United States,Montana,Oats,1990,spring,183.0,282.34,1.543,117.0,143.0,27.0,4.0,1.0,5.0,0.0,0.0,0.0,19.62,33.88,44.03,66.0,20.928,6.794,13.861,1688.17,16.0,1.0,0.0,4.0,1.0,1.0,0.0,31.08,0.49,12.0,28.0,70.0,-8.4,6.0,3937.42,21.516,139.06,0.0,28.0,1186.2,33.88,71.48,1.0,0.0,1520.08,14.86,71.8,0.0,0.0,1231.14,32.65,47.0,-110.0,1.4347,1.9463192192192196,-0.5116192192192195,-1.8612439517806318,True
United States,Colorado,Barley,1991,spring,183.0,307.78,1.682,95.0,127.0,14.0,5.0,1.0,2.0,0.0,0.0,0.0,14.0,26.75,45.55,88.0,18.768,3.17,10.969,1219.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,94.0,-9.88,5.0,3913.54,21.385,83.3,0.0,44.0,1325.57,14.32,129.48,0.0,1.0,1387.43,26.75,95.0,0.0,6.0,1200.54,20.9,39.0,-105.5,4.3041,5.016868065208058,-0.7127680652080581,-1.2701015815104855,True
United States,Texas,Barley,1991,spring,183.0,556.07,3.039,96.0,113.0,9.0,4.0,0.0,16.0,3.0,3.0,0.0,29.91,48.2,81.41,87.0,31.497,19.121,25.309,3716.485,121.0,38.0,0.0,40.0,8.0,6.0,6.0,448.21,42.95,64.0,0.0,0.0,5.13,0.0,3914.8,21.392,188.41,1.0,0.0,1264.34,47.57,186.78,19.0,0.0,1494.48,48.2,180.88,18.0,0.0,1155.98,26.1,31.0,-99.0,1.7216,2.0867878787878986,-0.3651878787878986,-1.1631674506228415,True
United States,Iowa,Oats,1991,spring,183.0,689.66,3.769,104.0,121.0,13.0,4.0,0.0,25.0,9.0,5.0,0.0,34.18,53.83,94.28,79.0,24.373,13.187,18.78,2522.835,26.0,0.0,0.0,7.0,0.0,4.0,0.0,40.42,0.0,18.0,4.0,32.0,-3.43,1.0,3510.45,19.183,362.85,0.0,2.0,1014.66,53.83,157.3,0.0,0.0,1407.78,46.75,169.51,0.0,2.0,1088.01,52.77,42.0,-93.5,1.7934,2.1940560145860033,-0.4006560145860032,-1.3467014601308458,True
United States,Minnesota,Oats,1991,spring,183.0,668.22,3.651,92.0,110.0,7.0,2.0,0.0,23.0,4.0,2.0,0.0,37.11,63.91,85.82,91.0,21.297,10.407,15.852,2023.02,10.0,0.0,0.0,6.0,0.0,2.0,0.0,11.91,0.0,5.0,17.0,44.0,-5.15,4.0,3373.14,18.432,244.96,0.0,16.0,1048.94,51.92,247.85,0.0,0.0,1287.23,32.5,175.41,0.0,1.0,1036.97,63.91,46.0,-94.0,1.4347,1.9859069412269363,-0.5512069412269363,-1.8071248688832653,True
United States,Illinois,Wheat,1991,winter,303.0,836.39,2.76,204.0,225.0,16.0,11.0,3.0,26.0,10.0,6.0,0.0,41.53,75.67,107.81,99.0,14.511,3.511,9.011,2052.46,12.0,1.0,0.0,6.0,1.0,1.0,0.0,24.31,0.7,9.0,121.0,172.0,-24.97,11.0,3971.96,13.109,297.38,1.0,28.0,1135.38,75.67,247.11,0.0,87.0,837.27,64.78,291.9,0.0,6.0,1999.31,62.33,40.0,-89.0,2.152,3.0019648348348085,-0.8499648348348083,-1.9898182553571984,True
United States,Washington,Wheat,1991,winter,303.0,1009.41,3.331,138.0,183.0,15.0,5.0,3.0,30.0,3.0,2.0,0.0,37.96,79.14,112.25,165.0,7.948,-1.684,3.132,645.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,250.0,-30.73,16.0,3336.81,11.013,430.6,0.0,49.0,933.16,79.14,337.62,0.0,97.0,657.49,41.01,241.19,0.0,36.0,1746.16,32.17,47.4,-120.7,3.0868,3.8926784641784575,-0.8058784641784573,-1.5397026707153056,True
United States,Colorado,Barley,1992,spring,183.0,259.56,1.418,110.0,142.0,19.0,7.0,1.0,1.0,1.0,1.0,0.0,39.39,50.55,54.13,73.0,19.176,3.316,11.246,1179.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,115.0,-5.86,6.0,3858.64,21.085,62.91,0.0,32.0,1313.23,15.32,94.16,0.0,2.0,1362.16,12.43,102.49,0.0,5.0,1183.25,50.55,39.0,-105.5,4.3579,5.093406700986691,-0.7355067009866909,-1.310620199941296,True
